100itempareto
_kosong
_ppnbm
_ppnbm_2
_pro_temp01
_pro_temp02
_tlog01
_tlog02
_tlog03
_trhtemp
absen_kd
alokasi_seasonal
apka_callerid
apka_customer
apka_pesanan
apka_pesanan_detil
asam_bulan
atk_config
atk_cons
atk_ktgplastik
atk_log
atk_masterplastik
atk_mstran
atk_pbatk
atk_prodmast
atk_rumus
atk_stmast
atk_templpp
avg_sls
avg_sls_temp
bank
barcode
basticker
batas
batas_retur
batelurcatcod
bayar
bayar_istore
bcx_temp
beritaacara
beritaacara_penukaran
beritaacara_penukarandetil
bincard
bincard_plu_khusus
bln_akt
bpjs_log
bpjs_tran
bracket
bracket2
bracket_temp
brx_fbx_main_temp
brx_fbx_tdkmain_temp
brx_fbx_temp
brx_temp
bsk_itemso
bsk_mstran
buah
cabang_task
cabang_unit
cancel
ccard
ccdsysmenu
cekplanogram
checklist
checklist_setting
closing_detail
const
const_asm
custmast
custom
danakas
dcmast
dcp_boxplu
del_temp
dept
dept_lhso
dhx_temp
disc_istore
disc_istore_harian
diversity_tbldetailnc
diversity_tblhapusnc
diversity_tbllayanan
diversity_tbllogharga
diversity_tblnc
diversity_tbloption
diversity_tblsj
diversity_tblttb
diversity_tblversi
divisi
dtslh5
dtslh7
dtslh8
edcmas
elpiji
emailnrb
event_spd
eventdetail
eventdetail_barang
eventmast
expired_main
expired_main_old
fbx_main_temp
fbx_temp
fee
filterplu
fixed_tb
fixed_tb_new
fixtabel
fstruk
giftcard_translog
giftcard_voucher
grmast
hadiah
hapus_prod
hari_libur
hari_libur_temp
hasil_his_pb
hbx_temp
his_barcode_tat
his_pbdc
his_prodmast
his_retur_roti
his_spd
his_stmast
his_stmast_rst
his_stock
his_switching
his_tk
his_tkn
his_token
hisptagnr
hitung_his_pb
hrgbeli
hrgbeli_new
hrn_rak
hsprodmast
icard_config
icard_fee
icard_jeniskartu
icard_member
icard_pushmember
icard_tipetransaksi
icard_trans
idelivery_callcenter
idelivery_customer
idelivery_daftar_promo
idelivery_log_status_pesanan
idelivery_master_alasan_batal
idelivery_master_status_pesanan
idelivery_pembayaran
idelivery_pesanan
idelivery_pesanan_detil
idelivery_pesanan_selesai
idelivery_promo_total
idelivery_tipe_pembayaran
idmcard_bin_t
idmcard_dtl_t
idmcard_hdh_t
idmcard_hdr_t
idmsql
if_temp
ikiosk_gameonline
ikiosk_idmcard
ikiosk_indomog
ikiosk_kai
ikiosk_listrik
ikiosk_paymentpoint
ikiosk_pdam
ikiosk_pelni
ikiosk_penjualan_voucher
ikiosk_pertunjukan
ikiosk_pesan_ambil
ikiosk_pesan_antar
ikiosk_settlement
ikiosk_tiketux
ikiosk_topupidmcard
ikiosk_txtravel
ikupon01
ikupon02
imr_tahandana
indomog_tracelog
indomog_translog
indomog_voucher
initial
initialbarcode
inputaktualkas
ipaket_coverage
ipaket_log
ipaket_tran
ipulsa_config
ipulsa_logipulsa
ipulsa_logpush
ipulsa_transaksi
itemharam
itemso
itmbalance
itmtran
jadwal_monitoring
jadwal_rorte
jdwlso
jual01
jual02
jual03
jumlah_expired
kai_cnfg
kai_jdwl
kai_stsn
kai_tran
kai_trce
kailog
kapdisp_temp
karton
karton_new
kat
kbi_log
kejutan
kodeposmast
kodeposmast_temp
konsy
kontainer
konversi_buah
konversi_plu
konversidbf
ktgr_new
kupon
lawas
limited_promo_idmcard
limited_transaction
listgudang
listrik_transaksi
lockso
log_ba_gembok
log_ba_tat
log_lpptk
log_monitor
logelec
loggv
logshift
lokasi
lpm_temp
mandiri
master_say_bread
mbr
merk
mindo
mpn_eco_temp
mstkop
mstran
mstran_asam
mstrasio
mtran
mtran_asam
mtran_istore
mtran_valid
mu_temp
nbr_buah
nbr_dry
newprod
nhb_temp
nkl_allnk
nkl_allnkl
nkl_allnl
nkl_banl_pareto
nkl_banl_pareto_bukan
nkl_buah
nkl_dasar_pembebanan
nkl_dry
nkl_final
nkl_groupnk
nkl_groupnl
nkl_nkpasangan_groupnl
nkl_pareto100nl
nkl_pareto100nl_bukan
nkl_pareto100nl_bukan_diterima
nkl_pareto100nl_bukan_ditolak
nkl_telur
nkl_totalbukanpareto
nkl_totalbukanparetoditerima
nkl_totalbukanparetoditolak
nkl_totalnk
nkl_totalnl
nkl_totalpareto
nkl_totalparetoditerima
nkl_totalparetoditolak
nokjt
nominal_kas
npb_d
npb_h
npb_k
nrakktgr
oldtag
paai_gambar
paai_kodepos
paai_mapkey
paai_pembayaran
paai_prodmast
paai_stok
paai_timezone
paai_transaksi_detail
paai_transaksi_summary
pass
passtoko
paymentpoint_log
paymentpoint_tran
paymentpoint_voucher
payout
pb_gab
pb_gab_his
pbbuah_temp
pbe_eco_tempx
pbe_tempx
pbenkriplog
pbkonsy
pbkonsy_new
pbmast
pbro_temp
pbsc_temp
pbsg_temp
pbsl_temp
pbslro_temp
pbsr_temp
pd_temp
pdam_log
pdam_tran
pdam_voucher
pelni_jdwl
pelni_pelabuhan
pelni_tran
pelni_trce
pelnilog
perform
periode_nkl_f
periode_nkl_n
periode_nkl_r
pertunjukan_jadwal01
pertunjukan_jadwal02
pertunjukan_jadwal03
pertunjukan_jadwal_promo01
pertunjukan_jadwal_promo02
pertunjukan_jadwal_promo03
pertunjukan_log
pertunjukan_tran
pertunjukan_trce
pertunjukanwahana_jadwal01
pertunjukanwahana_jadwal02
pertunjukanwahana_jadwal03
perubahan_posisi
perubahan_ptag
pesan
pesan_nasional
pesanantar_prodmast
pfe_eco_tempx
pfe_pbe
pfe_pbe_eco
pfe_tempx
pkm
pkm_dg_kapdisp
pkm_new
pl0911t
plu_basic
plu_nonaktif
plu_nonaktif_temp
pointreward_addpoint_2
pointreward_detail
pointreward_detail_2
pointreward_hist
pointreward_hist_2
pointreward_tran
pointreward_tran_2
pomast
pos2_cin_temp
pos2_dbt_temp
pos2_edc_temp
pos_net_infokonsumen
pos_net_qtysales
pos_net_stockout
pos_net_transaksi
pos_net_trhyymm
pos_net_verifikasipasstoko
posrt
posrt_absenping
posrt_idelivery
posrt_task
posrt_task_id
posrt_tracelog
pprominusstock01
pprominusstock02
pr_temp
prc_tmp
prctag
prctag_hargabaru
prctag_main
prdcd_rak_main_temp
pricetag_matriks
pricetag_matriks_revisi
pricetag_matriks_x
prm_recid1
prm_recid1_prodmast_rak_temp
prmtemp
prod
prodmast
prodmast_before
prodmast_main
prodmast_mp
prodmast_new
prodtmp
program_setting
promo
promo_matriks
promo_matriks_old
promo_matriks_revisi
promo_matriks_x
promo_prioritas
promosi
promosi_double
promosi_ho_today
promosi_lokal_today
promosi_new
promosi_single
promotk_group_t
promotk_hdr_t
promotk_jpemb_t
promotk_jpromosi_t
promotk_plubnd_dtl_t
promotk_plubnd_hdr_t
promotk_pluhadiah_t
promotk_plukecuali_t
promotk_plupromosi_t
promotk_plusponsor_t
promotk_supp_t
promotk_tpromosi_t
promotk_typetoko_t
promotk_voucher_t
protect
protect_depo
psnambil_options
psnambil_produk
psnambil_rhblog
psnambil_transaksi
psnambil_transdetil
psnambil_ubahtrans
ptag
ptag_nr
ptag_nr_hist
ptag_nr_hist_old
ptag_nr_nrak_mjd_nktgr_temp
ptag_old
ptag_promo_marketing
ptag_promo_marketing_temp
ptag_promo_marketing_temp_revisi
ptag_promo_marketing_temp_x
ptag_temp
pu_temp
querysales
raillink_cnfg
raillink_jdwl
raillink_stsn
raillink_tran
raillink_trce
raillinklog
rak
rak_a
rak_b
rak_before
rak_before_groupby
rak_expired
rak_groupby
rak_gudang
rak_mp
rak_new
rak_old
rak_temp
recipe
recvitem
refretur
rekap_retnondesc
retur_bayar
retur_khusus
rh_1
rkash_1
rkb_table
rlog
rrak_account
rrak_barrak
rrak_cetak_periode
rrak_id_pelanggan
rrak_id_pelanggan_pam
rrak_id_pelanggan_telpon
rrak_mrrak
rrak_optionrrak
rrak_pengaturan
rrak_rrak
rrak_rrak2
rrak_rrak3
rrak_rrak4
rrak_trend
sales_buah
sales_dry
sales_telur
seasonal
seasonal_temp
selisih
serah
settingemail
settingemail_temp
sewa
sjalan
slmast
slowmoving
slowmoving_temp
sls_tart
so_tdk_display
spd_temp
spdmast
spec_hardware
sponsor
sticker_detil
sticker_header
stmast
stmast_rst
stmastso
stockol
stockol_id
sumtable
supfax
supmast
supmast_before
sw_temp
switchmast
sysmenu
syspar
syswebcabang
targetinsentif
tart_scheduletask
tat_temp
tatmast
tatmast_prd
tb_rasio
tb_rasio_new
tb_rasionew
tbl_div
tbl_fix
tbl_ofc
tbl_ss
tblnonplu
tblweek
tcash_translog
tcashout
tcsh
telkomvision_log
telkomvision_tran
telkomvision_trce
telkomvision_voucher
temp_ctkreg
temp_his_pbbh_total
temp_his_pbdc_total
temp_listbpb
temp_lpptk
temp_modis
temp_npb_d_out_total
temp_npbbh_d_out_total
temp_pkm_pb_dc
temp_prodmas
temp_rptseasonal
temp_stockout1
temp_stockout2
temp_stockoutpareto
temp_waktusopertoko
temp_waktusoperuser
tempceksoid
tempso
tempsobaru
tiketux_agen
tiketux_cnfg
tiketux_jadwal
tiketux_jurusan
tiketux_tran
tiketux_trce
tiketuxlog
tlog
tlog_double
tmp_web_sb1609t
tmpmrrak
tmpprm
toko
toko_cab
toko_checklist
toko_kunjungan
toko_new
toko_tat
toko_unit
tot_struk
tph_new
tracelog
tracelog_cms
tracelog_edc_2
tracelog_posnet
transtokolog
trpr_promo
ttd_d
ttd_h
tua_muda
txtravel_log
txtravel_tran
ty01
ty02
ty03
typecus
tzswcustom
tzswhadiah
tzswmtran
tzswpromo
updbayar
updclosing_detail
updcustom
updhadiah
updhpp
updinitial
updmtran
userso
userso_temp
usersodcp
vgo_cnfg
vgo_mintatrx
vgo_translog
vir_bacaprod
vir_bacaprod_cek_ftrstk
vir_callcntr
vir_prefcell
vir_prefix
virtualwarning
voucherhotel_jadwal01
voucherhotel_jadwal02
voucherhotel_jadwal03
vwbrx_temp
vwdhx_temp
vwfbx_temp
vwhbx_temp
vwmu_temp
vwrrak2
websotemp
westernunion_ambiluang
westernunion_country
westernunion_id_type
westernunion_kirimuang
westernunion_log
westernunion_mexicocity_state
westernunion_occupation
westernunion_province_idr
westernunion_purpose_of_transaction
westernunion_regency_idr
westernunion_source_of_funds
westernunion_trx_wu
westernunion_us_state
wtran
wtran_bkl
wtran_draft
wtran_in
wtran_in_temp
wtran_tutup
